handle,total_n,artist,popularity,genre1,genre2,political_n,political_proportion,poliprop_bin
_christiannodal,126,Christian Nodal,2527,latin,,0,0,Unengaged
_elmayimbe_,27,Anthony Santos,33,latin,,0,0,Unengaged
respektor,3160,Regina Spektor,13,rock,,587,0.19,Actively Engaged
jackjohnson,925,Jack Johnson,20,rock,,65,0.07,Circumstantially Engaged
1future,3159,Future,7394,hiphop and r&b,,17,0,Unengaged
1gunnagunna,3020,Gunna,344,hiphop and r&b,,32,0,Unengaged
1omarion,1,Omarion,1635,hiphop and r&b,,0,0,Unengaged
2__milly,3148,2 Milly,1,hiphop and r&b,,38,0,Unengaged
adele,309,Adele,1625,pop,,1,0,Unengaged
21savage,2894,21 Savage,3752,hiphop and r&b,,29,0,Unengaged
2chainz,3226,2 Chainz,1631,hiphop and r&b,,20,0,Unengaged
6ix9ine,107,6ix9ine,2254,hiphop and r&b,,0,0,Unengaged
4planb,3138,Plan B,2146,latin,,139,0.01,Unengaged
6lack,3154,6LACK,161,hiphop and r&b,,40,0,Unengaged
artisthbtl,797,A Boogie Wit da Hoodie,1097,hiphop and r&b,,2,0,Unengaged
asapferg,3090,A$AP Ferg,926,hiphop and r&b,,36,0,Unengaged
jessiejdecker,3218,Jessie James Decker,13,country,,0,0,Unengaged
iamhannahkirby,3127,Hannah Kirby,5,rock,,200,0.07,Circumstantially Engaged
jm_finley,2,J. Michael Finley,13,christian,,0,0,Unengaged
abrahammateoesp,3189,Abraham Mateo,473,latin,,38,0,Unengaged
laithalsaadi,1267,Laith Al-Saadi,259,rock,,76,0.06,Circumstantially Engaged
masonramsey,640,Mason Ramsey,178,country,,1,0,Unengaged
billycurrington,286,Billy Currington,2205,country,,2,0,Unengaged
alessiacara,3232,Alessia Cara,4071,pop,,3,0,Unengaged
danauerbach,648,Dan Auerbach,163,rock,,37,0.06,Circumstantially Engaged
upchurchrhec,3246,Ryan Upchurch,7,country,,2,0,Unengaged
officialwzevon,67,Warren Zevon,39,rock,,4,0.06,Circumstantially Engaged
andygrammer,3220,Andy Grammer,563,pop,,38,0,Unengaged
adriel_favela,803,Adriel Favela,977,latin,,17,0,Unengaged
annemarie,3237,Anne-Marie,1077,pop,,23,0,Unengaged
alejandrosanz,3213,Alejandro Sanz,861,latin,,24,0,Unengaged
arianagrande,3235,Ariana Grande,3761,pop,,0,0,Unengaged
arlissaxx,3191,Arlissa,45,pop,,9,0,Unengaged
billyboydactor,2242,Billy Boyd,61,rock,,109,0.05,Circumstantially Engaged
alexoficial,3227,Alejandro Fernandez,13,latin,,1,0,Unengaged
alexsensation,3248,Alex Sensation,1068,latin,,1,0,Unengaged
alfredoolivas_,786,Alfredo Olivas,1083,latin,,1,0,Unengaged
twofeetmusic,191,Two Feet,857,rock,,10,0.05,Circumstantially Engaged
asvpxrocky,144,A$AP Rocky,415,hiphop and r&b,,0,0,Unengaged
st_vincent,3107,St. Vincent,37,rock,,104,0.02,Circumstantially Engaged
jonathanhelser,1317,Melissa Helser,9,christian,,0,0,Unengaged
amarante76,280,Rodrigo Amarante,43,latin,,1,0,Unengaged
markschultzy,85,Mark Schultz,67,christian,,0,0,Unengaged
alexdakid,3133,Alex Da Kid,444,rock,,103,0.05,Circumstantially Engaged
daltonrapattoni,3188,Dalton Rapattoni,5,rock,,100,0.02,Circumstantially Engaged
audien,3211,Audien,203,hiphop and r&b,,41,0,Unengaged
billygilman,3196,Billy Gilman,32,rock,,97,0.02,Circumstantially Engaged
stevenfurtick,3240,Steven Furtick,47,christian,,0,0,Unengaged
maggierogers,3218,Maggie Rogers,169,rock,,97,0.02,Circumstantially Engaged
bazzi,3212,Bazzi,1029,pop,,6,0,Unengaged
aaronshust,55,Aaron Shust,947,christian,,1,0,Unengaged
anitta,3224,Anitta,1170,latin,,65,0.01,Unengaged
beyonce,11,Beyonce,2957,pop,,0,0,Unengaged
anuel_2blea,3092,Anuel AA,2388,latin,,15,0,Unengaged
arcangelprrra,3221,Arcangel,2227,latin,,0,0,Unengaged
bloodpop,1888,BloodPop,242,pop,,22,0,Unengaged
arielylosplebes,1557,Ariel Camacho,3950,latin,,0,0,Unengaged
brunomars,3189,Bruno Mars,5690,pop,,22,0,Unengaged
aronwright,847,Aron Wright,25,christian,,1,0,Unengaged
banditgvngmvrco,3012,Bandit Gang Marco,300,hiphop and r&b,,21,0,Unengaged
barnscourtney,3217,Barns Courtney,30,hiphop and r&b,,28,0,Unengaged
joshturnermusic,1307,Josh Turner,1206,country,,3,0,Unengaged
bretteldredge,3234,Brett Eldredge,4819,country,,6,0,Unengaged
asolermusic,1349,Alvaro Soler,470,latin,,3,0,Unengaged
bas,3188,Bas,3,hiphop and r&b,,34,0,Unengaged
bhadbhabie,3108,Bhad Bhabie,108,hiphop and r&b,,38,0,Unengaged
bigbabydram,3157,D.R.A.M.,1394,hiphop and r&b,,23,0,Unengaged
grandson,3192,grandson,451,rock,,92,0.02,Circumstantially Engaged
chrisaugust,3204,Chris August,503,christian,,1,0,Unengaged
canaansmith,3228,Canaan Smith,1216,country,,6,0,Unengaged
ellieholcomb,3223,Ellie Holcomb,296,christian,,2,0,Unengaged
axeloficial,3195,Axel,4,latin,,17,0,Unengaged
axwell,31,Axwell,223,latin,,0,0,Unengaged
sawyerfrdrx,3239,Sawyer Fredericks,461,rock,,88,0.02,Circumstantially Engaged
carltonanderson,751,Carlton Anderson,3,country,,6,0,Unengaged
itsbrittnicole,3239,Britt Nicole,1265,christian,,2,0,Unengaged
balvinbr,3160,J Balvin,19644,latin,pop,13,0,Unengaged
blacyoungstafb,3146,Blac Youngsta,68,hiphop and r&b,,25,0,Unengaged
chris_daughtry,3192,Chris Daughtry,13,rock,,86,0.02,Circumstantially Engaged
miazanotti,3115,Mia Z,26,rock,,81,0.02,Circumstantially Engaged
blocboy_jb,3028,BlocBoy JB,887,hiphop and r&b,,24,0,Unengaged
garthbrooks,3213,Garth Brooks,1279,country,,6,0,Unengaged
bobatl,3215,B.o.B,265,hiphop and r&b,,31,0,Unengaged
bryantmyers_,2754,Bryant Myers,49,pop,,18,0,Unengaged
brycevine,3189,Bryce Vine,466,pop,,24,0,Unengaged
bigboi,3209,Big Boi,296,rock,hiphop and r&b,78,0.02,Circumstantially Engaged
toriharpermusic,192,Tori Harper,175,christian,,2,0.01,Circumstantially Engaged
andrewmcmahon,3212,Andrew McMahon In The Wilderness,1508,rock,,73,0.02,Circumstantially Engaged
calumscott,3222,Calum Scott,138,pop,,5,0,Unengaged
bobbyshmurdags9,1915,Bobby Shmurda,357,hiphop and r&b,,76,0,Unengaged
brysontiller,500,Bryson Tiller,2697,hiphop and r&b,,5,0,Unengaged
rhiannongiddens,2131,Rhiannon Giddens,20,rock,,66,0.02,Circumstantially Engaged
calvinharris,1018,Calvin Harris,5540,pop,,8,0,Unengaged
yusufcatstevens,1907,Cat Stevens,27,rock,,65,0.02,Circumstantially Engaged
jhalversonmusic,655,Josh Halverson,10,country,,7,0,Unengaged
grimezsz,1921,Grimes,156,rock,,51,0.02,Circumstantially Engaged
officialsting,1879,Sting,20,rock,,47,0.02,Circumstantially Engaged
camerondallas,238,Cameron Dallas,5,hiphop and r&b,,3,0,Unengaged
ericchurch,824,Eric Church,5472,country,,9,0,Unengaged
zwilliamslive,1207,Zach Williams,6764,rock,,38,0.02,Circumstantially Engaged
colonelloud,3182,Colonel Loud,150,hiphop and r&b,,23,0,Unengaged
carlyraejepsen,3162,Carly Rae Jepsen,266,pop,,41,0,Unengaged
common,3204,Common,105,hiphop and r&b,,43,0,Unengaged
daedae,629,Dae Dae,418,hiphop and r&b,,1,0,Unengaged
hleithauser,1432,Hamilton Leithauser,10,rock,,37,0.02,Circumstantially Engaged
chloekohanski,1682,Chloe Kohanski,78,rock,,36,0.02,Circumstantially Engaged
jordancwdavis,1436,Jordan Davis,1187,country,,9,0,Unengaged
manafest,3223,Manafest,7,christian,,3,0,Unengaged
jonnydiaz,3209,Jonny Diaz,1732,christian,,4,0,Unengaged
ironandwine,1426,Iron & Wine,20,rock,,27,0.02,Circumstantially Engaged
brendanjfletch,808,Brendan Fletcher,29,rock,,17,0.02,Circumstantially Engaged
taylormadu,318,Taylor Madu,6,christian,,4,0.01,Circumstantially Engaged
dustinlynch,3204,Dustin Lynch,4333,country,,11,0,Unengaged
jordan_rager,3217,Jordan Rager,27,country,,11,0,Unengaged
kimnicky,3206,Kimberly Nichole,68,rock,,296,0.01,Circumstantially Engaged
morgan_evans,3233,Morgan Evans,763,country,,11,0,Unengaged
charleskelleyla,1082,Charles Kelley,78,country,,12,0,Unengaged
dollyparton,1916,Dolly Parton,14,country,,12,0,Unengaged
charli_xcx,3193,Charli XCX,117,pop,,13,0,Unengaged
hozier,12898,Hozier,3730,rock,,224,0.01,Circumstantially Engaged
amygrant,3227,Amy Grant,103,christian,,5,0,Unengaged
charlieputh,670,Charlie Puth,3618,pop,,6,0,Unengaged
chrisbrown,3183,Chris Brown,4582,pop,,46,0,Unengaged
cleanbandit,3214,Clean Bandit,1196,pop,,47,0,Unengaged
damienprincejr,3071,Damien,29,hiphop and r&b,,15,0,Unengaged
brytiago,3142,Brytiago,931,latin,,15,0,Unengaged
conradofficial,3228,Conrad Sewell,229,pop,,44,0,Unengaged
dillonfrancis,2129,Dillon Francis,67,pop,,17,0,Unengaged
georgestrait,530,George Strait,177,country,,12,0,Unengaged
danielcaesar,2530,Daniel Caesar,213,hiphop and r&b,,28,0,Unengaged
diplo,3215,Diplo,795,pop,,115,0,Unengaged
hunterhayes,2837,Hunter Hayes,537,country,,13,0,Unengaged
carmensarahimx,3201,Carmen Sarahi,270,latin,,14,0,Unengaged
tuckerbeathard,1612,Tucker Beathard,725,country,,14,0,Unengaged
cassadeepope,3199,Cassadee Pope,2,country,,15,0,Unengaged
